Tournament1,Tournament2,SharedPlayers
YONEX All England Open Badminton Championships 2024,PETRONAS Malaysia Open 2024,206
YONEX All England Open Badminton Championships 2024,TotalEnergies BWF World Championships 2023,198
YONEX All England Open Badminton Championships 2024,KAPAL API Indonesia Open 2024,180
SATHIO GROUP Australian Open 2023,DAIHATSU Japan Open 2023,153
PETRONAS Malaysia Open 2023,HSBC BWF World Tour Finals 2022,63
PERODUA Malaysia Masters 2022,PETRONAS Malaysia Open 2022,181
PERODUA Malaysia Masters 2022,Singapore Open 2022,141
VICTOR Denmark Open 2021,YONEX All England Open Badminton Championships 2022,168
VICTOR Denmark Open 2021,DAIHATSU Indonesia Masters 2021(New dates),154
KAPAL API GROUP Indonesia Open 2023,KFF Singapore Open 2023,217
KAPAL API GROUP Indonesia Open 2023,DAIHATSU Japan Open 2023,197
KAPAL API GROUP Indonesia Open 2023,PERODUA Malaysia Masters 2023 presented by DAIHATSU,186
YONEX French Open 2023,VICTOR Denmark Open 2023,211
DAIHATSU Indonesia Masters 2021(New dates),SimInvest Indonesia Open 2021(New dates),219
DAIHATSU Indonesia Masters 2021(New dates),Korea Open Badminton Championships 2022,75
DAIHATSU Indonesia Masters 2021(New dates),HSBC BWF World Tour Finals 2021(New dates),62
DAIHATSU Indonesia Masters 2023,PERODUA Malaysia Masters 2023 presented by DAIHATSU,164
YONEX Canada Open 2023,YONEX US Open 2023,120
YONEX Canada Open 2023,TotalEnergies BWF World Championships 2023,109
YONEX Canada Open 2023,YONEX Canada Open 2024,70
TotalEnergies BWF World Championships 2023,YONEX All England Open Badminton Championships 2023,202
TotalEnergies BWF World Championships 2023,KHILADIX.COM Dubai Badminton Asia Championships 2023 powered by FLOKI,170
TotalEnergies BWF World Championships 2023,YONEX Swiss Open 2023,153
TotalEnergies BWF World Championships 2023,CLASH OF CLANS Arctic Open 2023 powered by YONEX,151
TotalEnergies BWF World Championships 2023,HYLO Open 2023,136
TotalEnergies BWF World Championships 2023,YONEX German Open 2024,136
TotalEnergies BWF World Championships 2023,YONEX Swiss Open 2024,126
TotalEnergies BWF World Championships 2023,III Mexican International Challenge 2023,66
TotalEnergies BWF World Championships 2023,Birmingham 2022 - XXII Commonwealth Games,52
TotalEnergies BWF World Championships 2023,Uganda International Challenge 2023,43
YONEX SUNRISE India Open 2024,PETRONAS Malaysia Open 2024,216
KHILADIX.COM Dubai Badminton Asia Championships 2023 powered by FLOKI,BANK OF NINGBO Badminton Asia Championships 2024,187
KHILADIX.COM Dubai Badminton Asia Championships 2023 powered by FLOKI,ASIAN Games 2022 (Individual Event),138
KHILADIX.COM Dubai Badminton Asia Championships 2023 powered by FLOKI,Dubai Junior International Series 2018,14
YONEX All England Open Badminton Championships 2022,YONEX GAINWARD German Open 2022,175
YONEX All England Open Badminton Championships 2022,YONEX Swiss Open 2022,119
KAPAL API Indonesia Open 2024,KFF Singapore Badminton Open 2024,195
KFF Singapore Badminton Open 2024,PERODUA Malaysia Masters 2024,123
KFF Singapore Open 2023,YONEX All England Open Badminton Championships 2023,207
YONEX Swiss Open 2024,Madrid Spain Masters 2024 by IBERDROLA,140
PERODUA Malaysia Masters 2023 presented by DAIHATSU,SATHIO GROUP Australian Open 2022,96
EAST VENTURES Indonesia Open 2022,DAIHATSU Indonesia Masters 2022,181
Turkey International 2013,Iran Fajr International Challenge 2014,29
Yonex Estonian International 2014,Yonex Estonian International 2013,70
Yonex Estonian International 2014,Lithuanian Open 2013,40
38th Yonex Hungarian International 2013,37th Yonex Hungarian International Championships 2012,73
38th Yonex Hungarian International 2013,Victor Croatian International 2014,56
JATI BWF World Junior Championhips 2014 ( EYE-LEVEL CUPS),SCG BWF World Junior Championships 2013,137
JATI BWF World Junior Championhips 2014 ( EYE-LEVEL CUPS),YONEX German Junior 2015,63
VICTOR EXIST JAKARTA OPEN JUNIOR INTERNATIONAL CHAMPIONSHIPS 2018,PEMBANGUNAN JAYA RAYA Junior Grand Prix 2018,466
VICTOR EXIST JAKARTA OPEN JUNIOR INTERNATIONAL CHAMPIONSHIPS 2018,VICTOR EXIST Jakarta Open Junior International Championships 2017,391
VICTOR EXIST JAKARTA OPEN JUNIOR INTERNATIONAL CHAMPIONSHIPS 2018,Pembangunan Jaya Raya Junior Grand Prix 2019,329
VICTOR EXIST JAKARTA OPEN JUNIOR INTERNATIONAL CHAMPIONSHIPS 2018,"DAIHATSU ASTEC Regional Junior U13,U15,U17 2019 (Jakarta)",204
VICTOR EXIST JAKARTA OPEN JUNIOR INTERNATIONAL CHAMPIONSHIPS 2018,VICTOR EXIST Jakarta Junior International Series,151
Mongolia Junior International Series 2018,Өсвөрийн УАШТ 2016,15
100 PLUS Badminton Asia Youth U19 Individual Championships 2013,SCG BWF World Junior Championships 2013,80
16th Victor Dutch International 2015,Victor Dutch International 2016,62
Victor Croatian International 2015,50th Portuguese International 2015,44
2018 Commonwealth Games,Birmingham 2022 - XXII Commonwealth Games,37
SaarLorLux Open 2018,Scottish Open 2018,88
Scottish Open 2018,2018 European Championships,95
Scottish Open 2018,Scottish Open 2019,88
2018 European Championships,European Games 2019,122
2018 European Championships,Orleans Masters 2018,93
2018 European Championships,White Nights 2017,48
2018 European Championships,Tarragona 2018 Mediterranean Games,18
Bitburger Badminton Open 2017,YONEX Dutch Open 2017,110
YONEX SUNRISE Vietnam Open 2017,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2018,101
YONEX SUNRISE Vietnam Open 2017,YONEX SUNRISE Vietnam Open GP 2016,93
YONEX SUNRISE Vietnam Open 2017,YONEX Chinese Taipei Open 2019,68
China Masters GPG 2014,Bonny China Masters,44
"Eurasia Bulgarian Open Championship, 2018",Bulgarian Open Championship 2019,98
"Eurasia Bulgarian Open Championship, 2018",Hellas International 2018,49
Babolat Bulgarian International 2018,Bulgarian Open Championship 2019,47
YONEX Italian International 2016,FZ FORZA Prague Open 2016,105
Iran Fajr International Challenge 2015,Iran Fajr International Challenge 2014,55
VICTOR Croatian International 2019,VICTOR Slovenia Future Series 2019,71
VICTOR Croatian International 2019,VICTOR Croatian International 2018,56
VICTOR Croatian International 2019,Romanian International 2017,30
Austrian Open 2017,FZ FORZA Prague Open 2016,84
Hellas International 2016,Hellas International 2017,41
YONEX Estonian International 2017,YONEX Estonian International 2018,78
YONEX Estonian International 2017,YONEX Finnish International Junior Championships 2013,23
2018 Meijer State Games,2017 State Games of America,15
2018 Meijer State Games,2019 Meijer State Games,13
Bruin Open 2023,QwQ's ULTIMATE Badminton Kup 3.0 - UwU Series,108
Bruin Open 2023,2024 Yonex Anteater Collegiate Championship,84
Bruin Open 2023,BCC's Winter Invitation Challenge 2022,37
Austrian International Challenge 2011,23rd SOTX Cyprus International 2010,31
SaarLorLux Open 2019,AIG FZ FORZA Irish Open 2019,74
AIG FZ FORZA Irish Open 2019,Scottish Open 2019,127
Peterborough_Junior_2010,Peterborough_Junior_2011,30
Peterborough_Junior_2011,"Phoenix Junior B 2010 (U12, U14, U16 & U19)",19
Peterborough_Junior_2011,Ajax High School Invitational 2011,9
Peterborough_Junior_2011,Kingston High School Challenge 2011,4
Peterborough Open 2017,Peterborough_Open_2018,30
Peterborough Open 2017,PeterboroughOpen2019,22
Peterborough Open 2017,2018 Ryerson Winter Open,15
Ridgeback Summer Open 2018 - a VICTOR event,2018 Ryerson Winter Open,32
Ridgeback Summer Open 2018 - a VICTOR event,IUCC Ridgeback 2017 (sponsored by Victor Racquets),25
Ridgeback Summer Open 2018 - a VICTOR event,UOIT Ridgeback Senior High School Invitational 2018,2
PBC_Adult_Open_2023,2019 Ryerson Winter Open,12
IUCC Mandarin 2017 (sponsored by Victor Racquets),2018 Ryerson Winter Open,56
IUCC Mandarin 2017 (sponsored by Victor Racquets),Black Knight IUCC FINALS 2017,19
Black Knight Junior (B) Series #9 PETERBOROUGH JUNIOR,2018 Ryerson Winter Open,8
Ajax High School Invitational 2010,Ajax High School Invitational 2011,100
Ajax High School Invitational 2011,Durham College Camp 2010 - Week One,4
2014 IBC Junior-Collegiate Championship - 10% ranking,2014 New Jersey Junior Championships Super Regional,70
2012-13 Ryerson Invitational #2,BLACK KNIGHT Durham Blues Open 2013 (ADULT OPEN),13
2018 Ryerson Winter Open,2019 Ryerson Winter Open,60
2018 Ryerson Winter Open,2019 Ryerson Summer Open,44
2018 Ryerson Winter Open,2017 Ryerson Open - Summer,33
2018 Ryerson Winter Open,IUCC K-W Badminton 2018 (sponsored by Victor Racquets),24
2018 IBC SPRING OPEN,2018 IBC Open,26
Blues Invitational 2011 & Blues Under 19 Open 2011,Blues Open 2010 (University of Toronto),21
TORONTO-RYERSON-YORK (TRY) INVITATIONAL 2011,2011-12 Ryerson Invitational #2,32
2011-12 Ryerson Invitational #2,2011-12 Ryerson Invitational #1,50
2011-12 Ryerson Invitational #2,2011 Alumni Tournament,11
EBA Open 2016,EBA Open 2017,44
11th EUBC 2017,FZ Forza Slovenia International 2018,8
2019 Bay Badminton Championships Classic,2019 YONEX CBA NorCal OPEN REGIONAL CHAMPIONSHIPS,95
2019 Bay Badminton Championships Classic,2019 SJSU Fall Smashoff,70
2019 Bay Badminton Championships Classic,Summer 2019 Delta College Badminton Tournament,23
2019 Bay Badminton Championships Classic,EBA Doubles Challenge,22
Rochester Open Fall 2013,Rochester Open 2012,37
Rochester Open Fall 2013,Rochester Charity Tournament 2014,36
2013 Bintang Junior Open,2013 NorCal Regional Junior Badminton Tournament,167
2013 NorCal Regional Junior Badminton Tournament,2014 USAB California Championships - Junior Super Regional,215
2013 NorCal Regional Junior Badminton Tournament,2013 ZBTC International Junior Tournament,74
2013 NorCal Regional Junior Badminton Tournament,Gunn Varsity 2016,7
2015 Bay Badminton Super Regional Championships,2016 LABC SoCal Super Regional,214
2015 Bay Badminton Super Regional Championships,2015 NorCal Bintang Jr Super Regional Championships,209
2015 NorCal Bintang Jr Super Regional Championships,2014 U.S. Junior Nationals,236
2015 NorCal Bintang Jr Super Regional Championships,2015 U.S. Junior Nationals,206
2015 NorCal Bintang Jr Super Regional Championships,2014 CBA Junior Regional Championships (20%),168
2015 NorCal Bintang Jr Super Regional Championships,2015 SoCal Super Regional Junior Tournament,157
2015 NorCal Bintang Jr Super Regional Championships,2015 Junior International Trials (JIT),128
2015 NorCal Bintang Jr Super Regional Championships,"2014 USA Badminton U11, U13, U15 Junior International Trials (JIT)",104
2014 USAB California Championships - Junior Super Regional,2022 Collegiate National Championships/Selection event for WUG Chengdu,15
2015 U.S. Junior Nationals,2015 New England Junior Open Championships,107
2015 U.S. Junior Nationals,2014 New Jersey Junior Championships Super Regional,83
2014 U.S. Junior Nationals,2014 NW Super Regional Junior Badminton Tournament,117
2014 U.S. Junior Nationals,2014 USBDF Winter Junior Internationals U9-U17,48
2014 U.S. Junior Nationals,2017 Team USA Trial,17
2016 Junior Nationals,2017 Junior Nationals,243
2016 Junior Nationals,2016 LABC SoCal Super Regional,242
2016 Junior Nationals,2016 Junior International Trials (JIT),151
2016 Junior Nationals,2015 USA Badminton Northwest Junior Tournament,51
2016 Junior Nationals,2016 Northwest Junior Tournament,50
2015 Bintang Regional Championship,2017 Junior Nationals,186
2015 Bintang Regional Championship,2015 ZBTC International Junior Tournament,137
2015 Bintang Regional Championship,2015 Affinity Junior Open,119
2015 Bintang Regional Championship,2018 SCVAL League Finals,25
2018 Winter Housing Charity Open,2019 Education 2030 Charity Open,38
2017 TCAAT Badminton Tournament,2017 American Red Cross Charity Tournament,19
2021 Bay Badminton Championships,2022 Bay Badminton Championships,88
2021 Bay Badminton Championships,ABSO2024,3
2016 LABC SoCal Super Regional,2016 SGVBC SoCal Regional Junior Open,93
2016 LABC SoCal Super Regional,2015 SoCal Regional Junior Ranking Tournament,90
2016 LABC SoCal Super Regional,2015 LABC Summer Junior Tournament,83
2016 LABC SoCal Super Regional,2016 LABC Spring Junior Open,81
2016 LABC SoCal Super Regional,2016 Dave Freeman Junior Open,78
2016 LABC SoCal Super Regional,2015 SGVBC Yonex Winter Junior Challenge,77
2016 LABC SoCal Super Regional,2019 YONEX JUNIOR INTERNATIONAL TRIALS FOR WORLD JUNIOR CHAMPS TEAM,44
2016 LABC SoCal Super Regional,2015 USBDF Winter Junior International,39
2022 Chicago Red Cross Open,2022 Egret Chicago Yonex Cup,43
Madison Open 2022,2021 Madison Open,36
Madison Open 2022,Steve Radar Memorial Open 2022,34
Madison Open 2022,Steve Rader Memorial Open 2023,25
NOT JUST ANOTHER BADMINTON TOURNAMENT,ACES SHUTTLES KALAYAAN CUP 2013,73
2021 Madison Open,Fall 2022 MNBA Open,23
Badmintology 11.2 - Super Smash Pros Open 2020,Badmintology 11.1 - Ultimate Shuttle Open 2019,76
Badmintology 11.2 - Super Smash Pros Open 2020,Badmintology 12.2 - O-Go-PoCo Open 2023 presented by GOSEN,42
2017 SGVBC Summer Smash,2017 LABC Summer Bash,67
2016 USA USBDF/OCBC Super Regional,2017 Junior Nationals,230
2014 Affinity Junior Open,2014 CBA Junior Regional Championships (20%),138
2022 NY OPEN - DOWNEY CUP,2024 NY CHAMPIONSHIP - FH FAMILY FUNDED,37
2022 NY OPEN - DOWNEY CUP,2016 YONEX NEW YORK OPEN - DOWNEY CUP,5
2014 CBA Junior Regional Championships (20%),2015 UBC Junior Ranking Tournament,141
2014 CBA Junior Regional Championships (20%),ZBTC 2014 Intl Jr Tournament,124
2014 CBA Junior Regional Championships (20%),2014 Synergy Junior Ranking Tournament (10%),111
2014 CBA Junior Regional Championships (20%),2015 Bay Badminton Junior Championships (10%),107
2015 Smashathon Charity Championships,2015 Smash of the Titans,110
2016 CBA Regional Championships,2017 Junior Nationals,242
2016 CBA Regional Championships,2017 Bintang Junior Open,195
2016 CBA Regional Championships,2016 ZBTC Junior Tournament,187
2016 CBA Regional Championships,2016 UBC Junior Open,168
2016 CBA Regional Championships,2016 Synergy Junior Open,137
2014 NW Super Regional Junior Badminton Tournament,2013 Northwest Super Regional,99
2014 NW Super Regional Junior Badminton Tournament,2014 NW Junior Regional,49
2014 NW Super Regional Junior Badminton Tournament,2014 NW Regional Junior Badminton Tournament,40
2022 Bay Badminton Championships,2023 Bay Badminton Championships,137
2022 Bay Badminton Championships,2023 EBC WeBadminton Charity Tournament,76
2022 Bay Badminton Championships,Fall Eastbay Challenge 2022,65
SJSU 2023 Spring Smashoff,UC Berkeley Polar Bear LXVII,78
UC Berkeley Golden Bear LXVI,UC Berkeley Polar Bear LXVII,75
UC Berkeley Golden Bear LXVI,Golden Bear LXVIII,74
Bay Area Badminton Club Challenge,2020 NORCAL BINTANG CLOSED REGIONAL CHAMPIONSHIPS,127
2023 Lunar New Year,2023 Schafer Badminton Tournament,59
2017 Junior International Trials (JIT),2017 Junior Nationals,167
2013 Northwest Super Regional,Northwest Junior Regional Championships 2013,37
I Mexican International Challenge 2021,Peru Challenge 2022,40
2017 UBC Junior Open,2017 CBA NorCal Open Regional Championships,153
2017 CBA NorCal Open Regional Championships,2017 Junior Nationals,278
2017 CBA NorCal Open Regional Championships,2018 USAB Bay Badminton Center Closed Regional Championships,223
2015 Smash of the Titans,CPS RSEQ,1
Peru Challenge 2022,XIII Mexican International 2022,73
Peru Challenge 2022,III Mexican International Challenge 2023,57
YONEX Estonian International 2022,VICTOR Swedish Open 2022,62
2017 SPBA Midwest Super Regional,2017 Junior Nationals,233
2017 SPBA Midwest Super Regional,2016 SPBA Midwest Super Regional,166
2017 SPBA Midwest Super Regional,Chicago Junior Open 2017,66
2019 USA Badminton Bay Badminton Center Closed Regional Championships,2018 Yonex Bintang NorCal Open Regional Championships,247
2019 YONEX JUNIOR NATIONAL CHAMPIONSHIPS,2018 YONEX Junior National Championships,325
2019 YONEX JUNIOR NATIONAL CHAMPIONSHIPS,2019 Northwest OPEN REGIONAL CHAMPIONSHIPS,294
2019 YONEX JUNIOR NATIONAL CHAMPIONSHIPS,2020 USA BADMINTON YONEX LABC SOCAL OPEN REGIONAL CHAMPIONSHIPS,278
2019 YONEX JUNIOR NATIONAL CHAMPIONSHIPS,2018 Yonex SoCal LABC Open Regional Championships,264
2019 YONEX JUNIOR NATIONAL CHAMPIONSHIPS,2020 USA BADMINTON YONEX FRISCO BADMINTON SOUTH OPEN REGIONAL CHAMPIONSHIPS,256
2019 YONEX JUNIOR NATIONAL CHAMPIONSHIPS,2019 YONEX Harbour Pointe OPEN REGIONAL CHAMPIONSHIPS,234
2019 YONEX JUNIOR NATIONAL CHAMPIONSHIPS,2019 YONEX SPBA MIDWEST OPEN REGIONAL CHAMPIONSHIPS,232
2019 YONEX JUNIOR NATIONAL CHAMPIONSHIPS,2018 YONEX Houston South Open Regional Championships,194
2019 YONEX JUNIOR NATIONAL CHAMPIONSHIPS,2019 ClearOne OPEN REGIONAL CHAMPIONSHIPS,175
2019 YONEX JUNIOR NATIONAL CHAMPIONSHIPS,2019 YONEX Northeast OPEN REGIONAL CHAMPIONSHIPS,172
2019 YONEX JUNIOR NATIONAL CHAMPIONSHIPS,2018 USA BADMINTON NEBA Open Regional Championships,142
XII Internacional Mexicano 2021(New dates),XXV Pan Am Individual Championships 2022,34
VICTOR Swedish Open 2022,ORLEN Polish Open 2023,70
VICTOR Denmark Masters 2023,Nantes International Challenge 2023,130
2018 Yonex Bintang NorCal Open Regional Championships,2019 YONEX CBA NorCal OPEN REGIONAL CHAMPIONSHIPS,261
2018 Yonex Bintang NorCal Open Regional Championships,2018 ZBTC Open Local Championships,179
2018 Yonex Bintang NorCal Open Regional Championships,UBC Open Local Championships,165
2018 Yonex Bintang NorCal Open Regional Championships,2018 weBadminton charity tournament,70
2018 Yonex Bintang NorCal Open Regional Championships,XD Sparring 061723,6
XXV Pan Am Individual Championships 2022,XXVI YONEX Pan Am Individual Championships 2023,84
XXV Pan Am Individual Championships 2022,XXVII YONEX Pan Am Individual Championships 2024,68
XXV Pan Am Individual Championships 2022,III El Salvador International 2021(New dates),45
XXV Pan Am Individual Championships 2022,Peru International Series 2022,42
